# QIGOA reality-check | script=run_ceiling.py | experiment=ceiling | data_source=brats | commit=1461520d7785c65a06704e47ba229ddde0b2d9ff | generated=2026-07-17T18:08:18
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
# method_class: C = uses test-time ground truth (oracle = an UNREACHABLE upper bound, NOT a method); B = learned, out-of-fold only; A = unsupervised per-image.
patient_id,target,include_zero_bg,method,method_class,fold,params,dice,hd95,nsd,nsd_tau1,nsd_tau3,nsd_tau5,n_components,empty_mask,mask_hash,data_source,placeholder
BraTS20_Training_001,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,146,0.8829620945681907,36.50868038742328,0.6362484157160964,0.5373891001267427,0.6939163498098859,0.7262357414448669,119,0,593bd07b15e3be8ba69121abbf9dddded6d6513b405adb33f23760734df0fd61,brats,0
BraTS20_Training_002,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,193,0.7450980392156863,47.89356658620443,0.5156838143036386,0.3864491844416562,0.5984943538268507,0.6612296110414053,73,0,b4e103b461b544f7cea9a39a9d31c53fa621a4796914a96d987cff12bc4fb05d,brats,0
BraTS20_Training_003,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,235,0.8927263212977499,42.366944448172006,0.7746113989637305,0.6632124352331606,0.8575129533678757,0.8860103626943006,22,0,59bb0d059e754574c0f837f4d8adcc4695718cf510d6748a5d5cd8b6debe07e6,brats,0
BraTS20_Training_004,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,141,0.9103499906419614,39.006969773321146,0.6736694677871149,0.6358543417366946,0.696078431372549,0.7226890756302521,26,0,a62d31a90dea06ebb66dc64ba1d928fe918b911fb05eddd72965f1b7a6e5a34e,brats,0
BraTS20_Training_005,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,246,0.6452533904354033,72.03505420437737,0.3225806451612903,0.21236559139784947,0.40860215053763443,0.4838709677419355,34,0,0f51c2c7d7cca97b6115259eed3ed15685326186940c428659b586c2086bcc36,brats,0
BraTS20_Training_006,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,136,0.889468036179672,60.74454697439007,0.7021630615640599,0.6098169717138103,0.7445923460898503,0.7712146422628952,110,0,ab79658f76e726c0050f527345f2aa1e5cf19280f66a99cd23cc92071c5ed3f0,brats,0
BraTS20_Training_007,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,185,0.8078155028827675,61.87854029249168,0.45254470426409904,0.37551581843191195,0.4965612104539202,0.5433287482806052,89,0,04d08cdfb233c3edfec5c22c734289962d45705357f560eb4fd3aafd81e3c0d5,brats,0
BraTS20_Training_008,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,238,0.6556413083425211,57.17997155782155,0.5467557251908397,0.43320610687022904,0.607824427480916,0.648854961832061,95,0,14bba470b44cd35c6deff49f27d72ec010f9c86a334d1652ccad76c9704c09d7,brats,0
BraTS20_Training_009,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,135,0.843296376728769,41.1296689845701,0.5271676300578034,0.47109826589595377,0.5687861271676301,0.6260115606936416,113,0,8076e16fed094ee1ecdbf6df2ec1cdba93ea9c556f40f5c97fe7ae88df09433a,brats,0
BraTS20_Training_010,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,203,0.6346153846153846,79.36559974334165,0.48347943358057993,0.4120026972353338,0.5300067430883345,0.5576534052596089,163,0,1bec7f1b0442809eabf22bf93325b538c1819b1969b139a6b7962eb2bd348fde,brats,0
BraTS20_Training_011,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,196,0.8371628371628371,70.3740864697408,0.48525073746312686,0.4085545722713864,0.523598820058997,0.5619469026548672,88,0,a0f1322a04db78eef7ab1c924a5d3c6508998f75c1ece27162ea41f05d7878ff,brats,0
BraTS20_Training_012,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,186,0.7729600546261522,82.11757160142014,0.348,0.27066666666666667,0.4186666666666667,0.4746666666666667,60,0,fdc3b0a8d03ca80049be6aafc301b5db56d2459de7ce67a4003608c510d7d2ca,brats,0
BraTS20_Training_013,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,174,0.7983800983511715,41.00670631985086,0.47802197802197804,0.4153846153846154,0.5285714285714286,0.610989010989011,99,0,7c3b124add741b48a36b2fb76272f002e37a0986058a60a613c433ef19d79d0e,brats,0
BraTS20_Training_014,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,182,0.8335087350031573,57.6822755001436,0.5105708245243129,0.42283298097251587,0.5792811839323467,0.6617336152219874,78,0,cb5c57f7348bbc6d761e0cca17a4798da041132a0c6e4cfe2fbdb4a484646385,brats,0
BraTS20_Training_015,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,154,0.8830816222637027,35.16315895899135,0.49440715883668906,0.441834451901566,0.5257270693512305,0.5637583892617449,60,0,3e7a2dc829fd938fd7354c9982b6f849c13047852adf3b1cd45fb375fcf05230,brats,0
BraTS20_Training_016,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,154,0.9176775028303412,3.0,0.8546895640686922,0.7001321003963011,0.9537648612945839,0.9867899603698811,10,0,7ed6cbe87e8b2ef8d5c49c2da87b6aa786f6495682d8f2cfb4f6150917c20faa,brats,0
BraTS20_Training_017,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,180,0.9069717245845025,33.30900814005028,0.704647676161919,0.6206896551724138,0.7736131934032984,0.8425787106446777,30,0,74797b882b7aede673b4ebb58c3c0f315e019c16201c43d827264c91a9309dec,brats,0
BraTS20_Training_018,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,196,0.8309125787887093,35.39034774409297,0.6901960784313725,0.5843137254901961,0.7392156862745098,0.807843137254902,81,0,964ba25d5e58e44a58b51b8b6b0424822cd4b5f1d90d01838a238c142470b862,brats,0
BraTS20_Training_019,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,177,0.8683171869393613,82.26997073754609,0.651394422310757,0.5258964143426295,0.6952191235059761,0.7470119521912351,40,0,ab8f5f8efabbd3004ba7987032e1a8ab3c4897738909e2fd8d33bf35c025b7e2,brats,0
BraTS20_Training_020,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,173,0.8933190933902931,45.146973776430386,0.5833333333333334,0.48573573573573575,0.6283783783783784,0.6786786786786787,91,0,bd8e19a29b151b6a709c5c473a4453e337d0a46f596127bd86c7aa55ab6577d2,brats,0
BraTS20_Training_021,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,207,0.8129149064574532,18.633261819550725,0.671120246659815,0.5447070914696814,0.7697841726618705,0.8540596094552929,66,0,274be2aff97da231f982739e0c1f5eaaf97b2a8bfb6d5205b014dbc4eb1d5413,brats,0
BraTS20_Training_022,wt_flair,na,oracle_single,C: uses test-time ground truth,-1,157,0.9005847953216374,41.91800104303952,0.6806569343065694,0.6094890510948905,0.7226277372262774,0.7481751824817519,29,0,58ad5a0acd710d1ad5ea7ef5584cf5968c8066c430f2d8c23f9dbe21085459ce,brats,0
