# QIGOA reality-check | script=run_stats.py | experiment=main | data_source=brats | commit=a8a8ec698d101c26b034335bebe3e976c65f165e | generated=2026-07-23T03:44:29
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
family,target,include_zero_bg,k,decode_rule,method,reference,n_patients,rope_low,rope_high,p_left,p_rope,p_right,primary,placeholder
C-equivalence,et_t1ce,false,4,brightest,GA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,false,4,brightest,GOA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,false,4,brightest,GOA-fixed,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,false,4,brightest,GWO,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,false,4,brightest,MPA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,false,4,brightest,PSO,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,false,4,brightest,QIGOA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,false,4,brightest,WOA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,false,4,brightest,random,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,true,4,brightest,GA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,true,4,brightest,GOA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,true,4,brightest,GOA-fixed,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,true,4,brightest,GWO,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,true,4,brightest,MPA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,true,4,brightest,PSO,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,true,4,brightest,QIGOA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,true,4,brightest,WOA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,et_t1ce,true,4,brightest,random,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,false,4,brightest,GA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,false,4,brightest,GOA,DP-exact,368,-0.01,0.01,5e-05,0.9959,0.00405,True,0
C-equivalence,wt_flair,false,4,brightest,GOA-fixed,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,false,4,brightest,GWO,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,false,4,brightest,MPA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,false,4,brightest,PSO,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,false,4,brightest,QIGOA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,false,4,brightest,WOA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,false,4,brightest,random,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,true,4,brightest,GA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,true,4,brightest,GOA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,true,4,brightest,GOA-fixed,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,true,4,brightest,GWO,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,true,4,brightest,MPA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,true,4,brightest,PSO,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,true,4,brightest,QIGOA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,true,4,brightest,WOA,DP-exact,368,-0.01,0.01,0.0,1.0,0.0,True,0
C-equivalence,wt_flair,true,4,brightest,random,DP-exact,368,-0.01,0.01,0.00015,0.99985,0.0,True,0
