# QIGOA reality-check | script=run_stats.py | experiment=main | data_source=brats | commit=a8a8ec698d101c26b034335bebe3e976c65f165e | generated=2026-07-23T03:44:29
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
family,target,include_zero_bg,k,decode_rule,metric,method,reference,n_patients,median_diff,mean_diff,ci_low,ci_high,wilcoxon_stat,p,rank_biserial,n_zero,n_total,zero_frac,holm_note,placeholder
C-equivalence,et_t1ce,false,4,brightest,dice,GA,DP-exact,368,0.0,-0.004200477806351126,0.0,0.0,22842.0,0.0006743107459073255,-0.2289620253164557,131,368,0.35597826086956524,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,false,4,brightest,dice,GOA,DP-exact,368,0.0,-0.002901266092628286,0.0,0.0,26352.0,0.010571550860621361,-0.1640256959314775,98,368,0.266304347826087,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,false,4,brightest,dice,GOA-fixed,DP-exact,368,0.0,-0.0006649721955849423,0.0,0.0,14576.0,0.44592539190155256,0.0769133339666255,269,368,0.7309782608695652,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,false,4,brightest,dice,GWO,DP-exact,368,0.0,-0.0013707018292269614,0.0,0.0,12737.0,0.7116371628845156,0.041177356218006625,287,368,0.779891304347826,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,false,4,brightest,dice,MPA,DP-exact,368,0.0,0.00038986828195965563,0.0,0.0,9666.0,0.18145509265949367,0.16115594897162197,299,368,0.8125,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,false,4,brightest,dice,PSO,DP-exact,368,0.0,-0.00021531573961407533,0.0,0.0,4614.0,0.10711972488185684,0.2686638135996196,332,368,0.9021739130434783,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,false,4,brightest,dice,QIGOA,DP-exact,368,0.0,7.585595424869642e-05,0.0,0.0,21165.0,0.07784856864443843,0.13578734611379922,194,368,0.5271739130434783,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,false,4,brightest,dice,WOA,DP-exact,368,0.0,2.6502547617429167e-05,0.0,0.0,7319.0,0.5052601227833009,0.09725562750539624,321,368,0.8722826086956522,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,false,4,brightest,dice,random,DP-exact,368,0.0,-0.0027140036713294365,0.0,0.0,30925.0,0.6303137764386311,0.03057945800222567,90,368,0.24456521739130435,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,GA,DP-exact,368,0.0,0.0006755409275374493,0.0,0.0,25561.0,0.28227125491950433,0.07613626095599531,158,368,0.42934782608695654,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,GOA,DP-exact,368,0.0,0.004181160361980596,0.0,0.0,29062.0,0.37722963357499617,0.05765239948119326,111,368,0.3016304347826087,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,GOA-fixed,DP-exact,368,0.0,0.00044302625901995946,0.0,0.0,9109.0,0.26068222218483916,0.14191512411096982,305,368,0.8288043478260869,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,GWO,DP-exact,368,0.0,0.0013238757771291691,0.0,0.0,3858.0,0.10072254953037678,0.29489171159645433,337,368,0.9157608695652174,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,MPA,DP-exact,368,0.0,0.0008717976695934013,0.0,0.0,3889.0,0.5285586338957626,0.12606741573033708,343,368,0.9320652173913043,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,PSO,DP-exact,368,0.0,0.003025727090429967,0.0,0.0,358.0,0.0013176373794587485,0.8585259830073108,354,368,0.9619565217391305,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,QIGOA,DP-exact,368,0.0,0.001886928212522775,0.0,0.0,18147.0,0.08495091146628857,0.1454404181676909,225,368,0.6114130434782609,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,WOA,DP-exact,368,0.0,0.0001904430007963134,0.0,0.0,2872.0,0.9867220663912109,0.004160887656033287,352,368,0.9565217391304348,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,random,DP-exact,368,0.0,0.0018014156930055447,0.0,0.0,30257.0,0.36954272754949735,0.056753175902112075,86,368,0.23369565217391305,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,false,4,brightest,dice,GA,DP-exact,368,0.0,-0.001238910025864924,0.0,0.0,31414.0,0.7931957114844608,-0.016637711101720118,89,368,0.2418478260869565,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,false,4,brightest,dice,GOA,DP-exact,368,0.0,0.0011619139883583566,0.0,0.0,31283.0,0.46355959788520384,0.045522501906941265,68,368,0.18478260869565216,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,false,4,brightest,dice,GOA-fixed,DP-exact,368,0.0,-0.00020531011099379046,0.0,0.0,17464.0,0.3703875270114063,0.08098721254538757,244,368,0.6630434782608695,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,false,4,brightest,dice,GWO,DP-exact,368,0.0,-0.00030741697748220805,0.0,0.0,11458.0,0.8780295012393005,-0.018376526022702934,298,368,0.8097826086956522,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,false,4,brightest,dice,MPA,DP-exact,368,0.0,0.00010317587029792661,0.0,0.0,10991.0,0.2774642159962524,0.12485070467393901,292,368,0.7934782608695652,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,false,4,brightest,dice,PSO,DP-exact,368,0.0,-0.0004537207240655013,0.0,0.0,5607.0,0.9736049966986268,-0.005851063829787234,336,368,0.9130434782608695,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,false,4,brightest,dice,QIGOA,DP-exact,368,0.0,-0.0007887462248812517,0.0,0.0,26251.0,0.6325299762771213,-0.03428613471655079,164,368,0.44565217391304346,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,false,4,brightest,dice,WOA,DP-exact,368,0.0,0.0008005557430560341,0.0,0.0,4209.0,0.03335846327044843,0.34996138996139,331,368,0.8994565217391305,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,false,4,brightest,dice,random,DP-exact,368,0.0,-0.0013337837091852644,0.0,0.0,32236.0,0.6158825360821794,-0.030758591659400463,52,368,0.14130434782608695,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,GA,DP-exact,368,0.0,-0.00046317327793907783,0.0,0.0,29541.0,0.888960277072988,-0.009356136820925553,128,368,0.34782608695652173,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,GOA,DP-exact,368,0.0,-0.0008379052433045817,0.0,0.0,32415.0,0.9002595889541268,0.007805325987144169,71,368,0.19293478260869565,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,GOA-fixed,DP-exact,368,0.0,-0.00017071888617113876,0.0,0.0,8179.0,0.0547840356513015,-0.24043462109955424,304,368,0.8260869565217391,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,GWO,DP-exact,368,0.0,0.0005784825062885885,0.0,0.0,1783.0,0.024599914041449178,0.502649930264993,348,368,0.9456521739130435,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,MPA,DP-exact,368,0.0,-0.0003031441357523302,0.0,0.0,2172.0,0.23154116013375947,0.2901960784313726,351,368,0.9538043478260869,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,PSO,DP-exact,368,0.0,-0.0011794654415148158,0.0,0.0,2863.0,0.6252663427784472,-0.11512903724308453,350,368,0.9510869565217391,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,QIGOA,DP-exact,368,0.0,-0.0009185075873066692,0.0,0.0,19312.0,0.52546637808521,-0.05490848585690516,232,368,0.6304347826086957,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,WOA,DP-exact,368,0.0,0.00033123206996606565,0.0,0.0,1091.0,0.47650034846187794,0.25171467764060357,360,368,0.9782608695652174,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,random,DP-exact,368,0.0,-0.0016884586335251812,0.0,0.0,31801.0,0.4309874705743083,-0.04808800419067575,46,368,0.125,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
