# QIGOA reality-check | script=run_exact_check.py | experiment=main | data_source=brats | commit=1461520d7785c65a06704e47ba229ddde0b2d9ff | generated=2026-07-17T09:10:26
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
# E1 gate: |f_DP - f_brute| <= tol AND identical induced mask after canonicalisation (prereg A5a).
patient_id,target,include_zero_bg,k,f_dp,f_brute,abs_diff,rel_diff,thr_dp,thr_brute,thr_identical,mask_hash_dp,mask_hash_brute,mask_identical,labelmap_identical,t_dp_s,t_brute_s,brute_over_dp,pass,data_source,placeholder
BraTS20_Training_001,wt_flair,true,2,9.0765340021304546,9.0765340021304546,0.000e+00,0.000e+00,127|183,127|183,1,15522f507c632015842f2f216fcd0cf0b9a59bb835669a92bd2de5e8c12a6f9d,15522f507c632015842f2f216fcd0cf0b9a59bb835669a92bd2de5e8c12a6f9d,1,1,0.160156,0.259854,1.62,1,brats,0
BraTS20_Training_001,wt_flair,true,3,12.284573958242412,12.284573958242412,0.000e+00,0.000e+00,1|85|148,1|85|148,1,e69896ea2c289a1ffb307a781293fb3259c2140932caba0344770f279cc9e934,e69896ea2c289a1ffb307a781293fb3259c2140932caba0344770f279cc9e934,1,1,0.246066,26.136845,106.22,1,brats,0
BraTS20_Training_001,wt_flair,false,2,12.284573958242373,12.284573958242373,0.000e+00,0.000e+00,85|148,85|148,1,e69896ea2c289a1ffb307a781293fb3259c2140932caba0344770f279cc9e934,e69896ea2c289a1ffb307a781293fb3259c2140932caba0344770f279cc9e934,1,1,0.162957,0.256983,1.58,1,brats,0
BraTS20_Training_001,wt_flair,false,3,15.359975526375923,15.359975526375923,0.000e+00,0.000e+00,85|139|189,85|139|189,1,aaeeed4c803a9b86e30b2f4d1cff187f57e1d1fede26bea5147d07909fbef628,aaeeed4c803a9b86e30b2f4d1cff187f57e1d1fede26bea5147d07909fbef628,1,1,0.237628,25.986825,109.36,1,brats,0
BraTS20_Training_001,et_t1ce,true,2,8.6516755302454573,8.6516755302454573,0.000e+00,0.000e+00,1|125,1|125,1,349f72fc014683ffea5216842e91728ba4705d69c7e09b8f8262fd009cb37fcc,349f72fc014683ffea5216842e91728ba4705d69c7e09b8f8262fd009cb37fcc,1,1,0.155256,0.203753,1.31,1,brats,0
BraTS20_Training_001,et_t1ce,true,3,11.948892765897588,11.948892765897588,0.000e+00,0.000e+00,1|109|175,1|109|175,1,57141081af5ff0534a584fbf0f7e332aa3894404956396e93445c3a3c4389c1d,57141081af5ff0534a584fbf0f7e332aa3894404956396e93445c3a3c4389c1d,1,1,0.235421,18.948737,80.49,1,brats,0
BraTS20_Training_001,et_t1ce,false,2,11.948892765897613,11.948892765897613,0.000e+00,0.000e+00,109|175,109|175,1,57141081af5ff0534a584fbf0f7e332aa3894404956396e93445c3a3c4389c1d,57141081af5ff0534a584fbf0f7e332aa3894404956396e93445c3a3c4389c1d,1,1,0.159207,0.208883,1.31,1,brats,0
BraTS20_Training_001,et_t1ce,false,3,14.94821915710326,14.94821915710326,0.000e+00,0.000e+00,97|140|190,97|140|190,1,e9557b176be9523e67b26aadf10a14a5f50a0d663e91678fd6c7c75dd1fcbbf2,e9557b176be9523e67b26aadf10a14a5f50a0d663e91678fd6c7c75dd1fcbbf2,1,1,0.232456,18.867146,81.16,1,brats,0
BraTS20_Training_002,wt_flair,true,2,8.7787112345007401,8.7787112345007401,0.000e+00,0.000e+00,1|93,1|93,1,1960db36b088a3abe0a025ef37cd1eb9b3ea2d11ffe2dc036c8d3a8f50512b45,1960db36b088a3abe0a025ef37cd1eb9b3ea2d11ffe2dc036c8d3a8f50512b45,1,1,0.164294,0.269648,1.64,1,brats,0
BraTS20_Training_002,wt_flair,true,3,12.286702195520295,12.286702195520295,0.000e+00,0.000e+00,1|91|163,1|91|163,1,2d2fc1de03b68bc14e25d265a7bf14686bffec1d1210efac30849750772682be,2d2fc1de03b68bc14e25d265a7bf14686bffec1d1210efac30849750772682be,1,1,0.238718,27.405415,114.80,1,brats,0
BraTS20_Training_002,wt_flair,false,2,12.286702195520064,12.286702195520064,0.000e+00,0.000e+00,91|163,91|163,1,2d2fc1de03b68bc14e25d265a7bf14686bffec1d1210efac30849750772682be,2d2fc1de03b68bc14e25d265a7bf14686bffec1d1210efac30849750772682be,1,1,0.158407,0.261020,1.65,1,brats,0
BraTS20_Training_002,wt_flair,false,3,15.264317508911592,15.264317508911592,0.000e+00,0.000e+00,59|98|165,59|98|165,1,7be4a71c102c6ba17400fbc4d1f121c2dc060fc2c0aa28c5ae07603fab262ca6,7be4a71c102c6ba17400fbc4d1f121c2dc060fc2c0aa28c5ae07603fab262ca6,1,1,0.242026,27.144129,112.15,1,brats,0
BraTS20_Training_002,et_t1ce,true,2,8.6220248753206103,8.6220248753206103,0.000e+00,0.000e+00,1|128,1|128,1,7d1f99923409d073708f5209e15d4ef766d23832212502c37434371767e41d19,7d1f99923409d073708f5209e15d4ef766d23832212502c37434371767e41d19,1,1,0.160539,0.192794,1.20,1,brats,0
