# QIGOA reality-check | script=run_stats.py | experiment=week1 | data_source=brats | commit=1461520d7785c65a06704e47ba229ddde0b2d9ff | generated=2026-07-17T17:12:05
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
family,target,include_zero_bg,k,decode_rule,metric,method,reference,n_patients,median_diff,mean_diff,ci_low,ci_high,wilcoxon_stat,p,rank_biserial,n_zero,n_total,zero_frac,holm_note,placeholder
C-equivalence,et_t1ce,true,4,brightest,dice,GA,DP-exact,60,0.0,0.0004923767582040965,0.0,0.0012139635172139021,736.0,0.3230193280046184,0.1535365152386429,13,60,0.21666666666666667,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,GOA,DP-exact,60,-0.001309877365348944,-0.0030094048963339192,-0.0072193740407994166,0.0,685.0,0.12589541381081606,-0.23249299719887956,9,60,0.15,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,GOA-fixed,DP-exact,60,0.0,-0.00120681870604855,0.0,0.0,272.0,0.5609157988124902,-0.16819571865443425,48,60,0.8,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,GWO,DP-exact,60,0.0,0.0005006362093543885,0.0,0.0,168.0,0.6763176327058915,0.15789473684210525,53,60,0.8833333333333333,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,MPA,DP-exact,60,0.0,4.173798976857337e-05,0.0,0.0,60.0,0.5770317263258422,0.3220338983050847,57,60,0.95,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,PSO,DP-exact,60,0.0,0.00014606112658266507,0.0,0.0,0.0,0.31731050786291415,1.0,59,60,0.9833333333333333,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,QIGOA,DP-exact,60,0.0,0.00022527094359663541,0.0,0.0,611.0,0.7487156670704638,0.06144393241167435,32,60,0.5333333333333333,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,WOA,DP-exact,60,0.0,0.00068723819400785,0.0,0.0,0.0,0.157313863507067,1.0,58,60,0.9666666666666667,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,et_t1ce,true,4,brightest,dice,random,DP-exact,60,0.0,0.001112792708936948,-0.0014384436534450006,0.0,821.0,0.758364627402582,-0.04811594202898551,14,60,0.23333333333333334,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,GA,DP-exact,60,0.0,0.005924944283807137,0.0,0.0011620963124983064,743.0,0.47665587817080135,0.1138938580799046,17,60,0.2833333333333333,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,GOA,DP-exact,60,0.005370685787415785,0.014244051276254896,-0.001322435359262908,0.014994997682485356,656.0,0.05946371682892133,0.2807017543859649,3,60,0.05,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,GOA-fixed,DP-exact,60,0.0,0.00027148671054760126,0.0,0.0,356.0,0.18986353443113102,-0.29504950495049503,40,60,0.6666666666666666,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,GWO,DP-exact,60,0.0,0.0012725638516832014,0.0,0.0,107.0,0.13672942925927348,0.5265486725663717,52,60,0.8666666666666667,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,MPA,DP-exact,60,0.0,0.002100494545852875,0.0,0.0,170.0,0.695807748546494,0.14786967418546365,53,60,0.8833333333333333,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,PSO,DP-exact,60,0.0,0.00048473034908384137,0.0,0.0,59.0,0.9905183800775177,0.008403361344537815,58,60,0.9666666666666667,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,QIGOA,DP-exact,60,0.0,-0.0009153991774933641,0.0,0.0,486.0,0.15050395160105415,-0.27136431784107945,31,60,0.5166666666666667,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,WOA,DP-exact,60,0.0,0.0014096871194354205,0.0,0.0,171.0,0.9830139044971865,0.008695652173913044,54,60,0.9,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
C-equivalence,wt_flair,true,4,brightest,dice,random,DP-exact,60,0.00016871334285600836,-0.0011849250309509515,-0.008785377259847849,0.006936355331937233,906.0,0.9911863307224879,0.001652892561983471,5,60,0.08333333333333333,TOST = intersection-union test ⇒ KHÔNG hiệu chỉnh (A4e),0
