# QIGOA reality-check | script=run_stats.py | experiment=week1 | data_source=brats | commit=1461520d7785c65a06704e47ba229ddde0b2d9ff | generated=2026-07-17T17:12:05
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
family,target,include_zero_bg,k,decode_rule,method,reference,n_patients,mean_diff,ci90_low,ci90_high,delta_ach,equivalence_holds_for_any_sesoi_ge,placeholder,tost_p_delta0.01,tost_p_delta0.05
C-equivalence,et_t1ce,true,4,brightest,GA,DP-exact,60,0.0004923767582040965,-0.002869107720105439,0.0038538612365136317,0.0038538612365136317,0.0038538612365136317,0,7.299017630516365e-06,5.071357245008054e-33
C-equivalence,et_t1ce,true,4,brightest,GOA,DP-exact,60,-0.0030094048963339192,-0.009270545052763974,0.0032517352600961347,0.009270545052763974,0.009270545052763974,0,0.03352267035976825,1.3690239885625103e-18
C-equivalence,et_t1ce,true,4,brightest,GOA-fixed,DP-exact,60,-0.00120681870604855,-0.0040878286820042594,0.0016741912699071593,0.0040878286820042594,0.0040878286820042594,0,1.8883331000583095e-06,2.5179851958843095e-36
C-equivalence,et_t1ce,true,4,brightest,GWO,DP-exact,60,0.0005006362093543885,-0.0008226128512224913,0.0018238852699312682,0.0018238852699312682,0.0018238852699312682,0,9.114225861835078e-18,6.358762905920402e-56
C-equivalence,et_t1ce,true,4,brightest,MPA,DP-exact,60,4.173798976857337e-05,-0.0007509459883200923,0.0008344219678572389,0.0008344219678572389,0.0008344219678572389,0,2.3309440330045335e-29,3.622115613032657e-69
C-equivalence,et_t1ce,true,4,brightest,PSO,DP-exact,60,0.00014606112658266507,-9.802060431087146e-05,0.0003901428574762016,0.0003901428574762016,0.0003901428574762016,0,7.51684751087423e-58,3.0950876858501097e-99
C-equivalence,et_t1ce,true,4,brightest,QIGOA,DP-exact,60,0.00022527094359663541,-0.0025595594784728576,0.0030101013656661283,0.0030101013656661283,0.0030101013656661283,0,1.0798230133293113e-07,1.2862355252920365e-37
C-equivalence,et_t1ce,true,4,brightest,WOA,DP-exact,60,0.00068723819400785,-0.0002454757341117077,0.0016199521221274076,0.0016199521221274076,0.0016199521221274076,0,2.5937799410881246e-24,1.0774818769873749e-64
C-equivalence,et_t1ce,true,4,brightest,random,DP-exact,60,0.001112792708936948,-0.002126333648590782,0.0043519190664646785,0.0043519190664646785,0.0043519190664646785,0,1.2056356043909122e-05,1.354257685521665e-33
C-equivalence,wt_flair,true,4,brightest,GA,DP-exact,60,0.005924944283807137,-0.0006076019700324373,0.012457490537646712,0.012457490537646712,0.012457490537646712,0,0.15072989066831508,1.1864847031852014e-16
C-equivalence,wt_flair,true,4,brightest,GOA,DP-exact,60,0.014244051276254896,0.0037274985317553855,0.024760604020754407,0.024760604020754407,0.024760604020754407,0,0.7486497085035624,2.1679334262776515e-07
C-equivalence,wt_flair,true,4,brightest,GOA-fixed,DP-exact,60,0.00027148671054760126,-0.0038539924999772017,0.004396965921072404,0.004396965921072404,0.004396965921072404,0,0.0001088726827868359,1.9912750077961345e-28
C-equivalence,wt_flair,true,4,brightest,GWO,DP-exact,60,0.0012725638516832014,1.8637194667895252e-05,0.0025264905086985075,0.0025264905086985075,0.0025264905086985075,0,3.3171149868174903e-17,6.935358770068194e-57
C-equivalence,wt_flair,true,4,brightest,MPA,DP-exact,60,0.002100494545852875,-0.0018174565036415936,0.006018445595347343,0.006018445595347343,0.006018445595347343,0,0.0006664633306878511,9.583085727043603e-29
C-equivalence,wt_flair,true,4,brightest,PSO,DP-exact,60,0.00048473034908384137,-0.002923325308204513,0.003892786006372196,0.003892786006372196,0.003892786006372196,0,9.062886161276953e-06,1.054168994243381e-32
C-equivalence,wt_flair,true,4,brightest,QIGOA,DP-exact,60,-0.0009153991774933641,-0.0042003664697202224,0.0023695681147334943,0.0042003664697202224,0.0042003664697202224,0,1.0601279004177225e-05,2.327526511623231e-33
C-equivalence,wt_flair,true,4,brightest,WOA,DP-exact,60,0.0014096871194354205,-0.0027174174491786654,0.005536791688049506,0.005536791688049506,0.005536791688049506,0,0.0004772765168628168,6.692666050131705e-28
C-equivalence,wt_flair,true,4,brightest,random,DP-exact,60,-0.0011849250309509515,-0.009002739449630892,0.006632889387728989,0.009002739449630892,0.009002739449630892,0,0.03222959082490402,2.5511841743712418e-15
